First,Last,Nickname,Ht.,Wt.,Reach,Stance,W,L,D,Belt
Keith,Berry,,"6' 1""",185 lbs.,--,,15,14,1,
Dieusel,Berto,,"5' 9""",200 lbs.,--,,0,3,0,
Edson,Berto,Little Tiger,"5' 6""",155 lbs.,--,Orthodox,17,12,1,
Allen,Berube,Monstah Lobstah,"5' 8""",155 lbs.,--,Orthodox,4,3,0,
Anton,Berzin,The Body Snatcher,"6' 2""",205 lbs.,--,Orthodox,5,1,0,
Scott,Bessac,,"6' 4""",245 lbs.,--,,4,6,0,
Matt,Bessette,The Mangler,"5' 10""",145 lbs.,"70.0""",Orthodox,22,9,0,
Khadzhi,Bestaev,Best,"6' 6""",185 lbs.,"76.0""",,10,4,0,
Fernando,Bettega,,--,170 lbs.,--,,7,5,0,
Arjan,Bhullar,,"6' 1""",245 lbs.,"75.0""",Orthodox,9,1,0,
KB,Bhullar,The Bengal,"6' 4""",185 lbs.,"78.0""",Switch,8,2,0,
Bibulatov,Magomed,Chaborz,"5' 5""",125 lbs.,"65.0""",Orthodox,14,2,0,
David,Bielkheden,,"5' 10""",155 lbs.,"71.0""",Orthodox,24,12,0,
Blake,Bilder,El Animal,"5' 8""",145 lbs.,"68.0""",Switch,8,1,1,
Jonas,Bilharinho,,"5' 11""",145 lbs.,"75.0""",Switch,9,1,1,
Jeremiah,Billington,,"5' 9""",205 lbs.,--,Orthodox,11,2,0,
Scott,Bills,,"5' 10""",170 lbs.,--,,7,9,1,
Anthony,Birchak,El Toro,"5' 8""",135 lbs.,"69.0""",Orthodox,16,8,0,
Chris,Birchler,The Big Buck,"6' 3""",205 lbs.,--,Switch,7,4,0,
Michael,Bisping,The Count,"6' 1""",185 lbs.,"75.0""",Orthodox,30,9,0,
Amaury,Bitetti,,"5' 9""",185 lbs.,--,Orthodox,5,2,0,
Caio,Bittencourt,Leao,"6' 0""",185 lbs.,"75.0""",Orthodox,14,7,0,
Simon,Biyong,,--,205 lbs.,--,,7,1,0,
Jan,Blachowicz,,"6' 2""",205 lbs.,"78.0""",Orthodox,29,9,1,
Jason,Black,The Black Legion,"5' 8""",155 lbs.,--,Orthodox,23,4,1,
Brad,Blackburn,Bad Brad,"5' 10""",170 lbs.,"73.0""",Orthodox,18,13,1,
Jason,Blackford,,--,--,--,,3,3,0,
Tom,Blackledge,,--,205 lbs.,--,Orthodox,10,7,0,
Sherrard,Blackledge,The Thriller,"5' 11""",155 lbs.,"75.0""",Orthodox,5,1,0,
Da'Mon,Blackshear,The Monster,"5' 10""",135 lbs.,"72.0""",Switch,13,5,1,
Erin,Blanchfield,Cold Blooded,"5' 4""",125 lbs.,"66.0""",Orthodox,11,1,0,
Maximo,Blanco,Maxi,"5' 8""",145 lbs.,"71.0""",Orthodox,12,8,1,
David,Blanco,,"5' 7""",145 lbs.,--,,2,0,0,
Curtis,Blaydes,Razor,"6' 4""",265 lbs.,"80.0""",Orthodox,17,4,0,
Tereza,Bleda,,"5' 9""",125 lbs.,"71.0""",Orthodox,7,1,0,
Arlene,Blencowe,Angerfist,"5' 5""",145 lbs.,--,,9,6,0,
Byron,Bloodworth,,"5' 8""",135 lbs.,--,Orthodox,6,3,0,
Dashawn,Boatwright,"Buck, the 400-pound Silverback","6' 0""",205 lbs.,--,Orthodox,3,1,0,
Dan,Bobish,,"6' 2""",345 lbs.,--,Southpaw,17,9,0,
Mark,Bocek,,"5' 8""",155 lbs.,"75.0""",Orthodox,12,5,0,
Kyle,Bochniak,Killer B,"5' 7""",145 lbs.,"70.0""",Orthodox,8,5,0,
James,Bochnovic,,"6' 4""",205 lbs.,"81.0""",Orthodox,8,3,0,
Jeremy,Boczulak,,--,--,--,,0,2,0,
Tim,Boetsch,The Barbarian,"6' 0""",185 lbs.,"74.0""",Orthodox,21,13,0,
Galore,Bofando,,"5' 11""",170 lbs.,"72.0""",Switch,5,3,0,
Jay,Bogan,,--,145 lbs.,--,,6,6,0,
Roman,Bogatov,,"5' 8""",155 lbs.,"73.0""",Orthodox,10,1,0,
Derek,Bohi,Marshmallow,"6' 4""",260 lbs.,--,,8,5,0,
Jerry,Bohlander,,"5' 11""",199 lbs.,--,Orthodox,11,4,0,
Mandy,Bohm,Monster,"5' 7""",125 lbs.,"71.0""",Orthodox,8,2,0,
Kotetsu,Boku,,"5' 9""",154 lbs.,--,Orthodox,25,11,2,
Gaston,Bolanos,The Dreamkiller,"5' 7""",135 lbs.,"69.0""",Orthodox,7,3,0,
Kyle,Bolt,,"6' 2""",185 lbs.,--,,8,4,0,
Denys,Bondar,Psycho,"5' 6""",125 lbs.,"69.0""",Orthodox,16,5,0,
Luc,Bondole,,"6' 2""",205 lbs.,--,,5,2,2,
Tony,Bonello,The Gun,"6' 2""",185 lbs.,--,,16,3,1,
Gabriel,Bonfim,Marretinha,"6' 1""",170 lbs.,"72.0""",Orthodox,14,0,0,
Ismael,Bonfim,Marreta,"5' 8""",155 lbs.,"71.0""",Orthodox,19,4,0,
Jesse,Bongfeldt,Water,"6' 0""",185 lbs.,--,Orthodox,16,5,1,
Marcos,Bonilla,Murder Marx,"5' 10""",145 lbs.,--,,4,4,0,
Stephan,Bonnar,The American Psycho,"6' 4""",205 lbs.,"79.0""",Orthodox,15,9,0,
Rogerio,Bontorin,,"5' 5""",125 lbs.,"67.0""",Orthodox,16,4,0,
Ray,Borg,The Tazmexican Devil,"5' 4""",135 lbs.,"63.0""",Orthodox,13,5,0,
Igor,Borisov,,"6' 0""",235 lbs.,--,Orthodox,1,1,0,
Kevin,Borjas,El Gallo Negro,--,125 lbs.,--,,8,1,0,
Calen,Born,,"5' 8""",170 lbs.,"72.0""",Switch,7,1,0,
Caio,Borralho,The Natural,"5' 10""",185 lbs.,"75.0""",Southpaw,14,1,0,
Zachary,Borrego,The Dragon,"6' 2""",185 lbs.,"78.0""",Switch,3,1,0,
Viacheslav,Borshchev,Slava Claus,"5' 11""",155 lbs.,"69.0""",Orthodox,7,3,0,
Tanner,Boser,The Bulldozer,"6' 2""",205 lbs.,"75.0""",Orthodox,20,10,1,
Steve,Bosse,The Boss,"5' 11""",205 lbs.,"72.0""",Orthodox,12,2,0,
Marcus,Bossett,The Grasshopper,"6' 1""",215 lbs.,--,Orthodox,1,3,0,
Chris,Bostick,,--,--,--,,6,3,0,
Poliana,Botelho,,"5' 8""",125 lbs.,"67.0""",Orthodox,8,5,0,
Francois,Botha,White Buffalo,"6' 2""",260 lbs.,--,Orthodox,0,1,0,
Gregory,Bouchelaghem,,"6' 2""",183 lbs.,--,Switch,5,4,0,
Roy,Boughton,Black Dynamite,"6' 0""",205 lbs.,--,,14,8,0,
Rich,Bouphanouvong,,"5' 7""",170 lbs.,--,,1,4,0,
Mike,Bourke,The Rhino,"6' 0""",275 lbs.,--,Orthodox,10,16,1,
Jess,Bouscal,,--,155 lbs.,--,,3,2,0,
Tai,Bowden,,"5' 11""",230 lbs.,--,,1,1,0,
Melton,Bowen,The Punisher,"6' 0""",225 lbs.,--,Orthodox,0,1,0,
Kyron,Bowen,Bullseye,"6' 3""",185 lbs.,"73.0""",Orthodox,9,5,0,
Brian,Bowles,,"5' 7""",135 lbs.,"70.0""",Orthodox,10,3,0,
Roger,Bowling,Relentless,"5' 9""",155 lbs.,"68.0""",Orthodox,12,6,0,
Blake,Bowman,,"6' 2""",170 lbs.,--,,2,6,0,
Ashe,Bowman,The Archer,"5' 9""",155 lbs.,--,,9,11,0,
Anvar,Boynazarov,The Uzbek,"5' 9""",145 lbs.,--,Orthodox,3,1,0,
Colley,Bradford,,"5' 7""",145 lbs.,--,,0,1,0,
Kyle,Bradley,,"5' 9""",155 lbs.,"71.0""",Orthodox,19,12,0,
Paul,Bradley,The Gentleman,"5' 9""",170 lbs.,--,Orthodox,23,8,0,
Sean,Brady,,"5' 10""",170 lbs.,"72.0""",Orthodox,15,1,0,
Ebenezer Fontes,Braga,Pitbull,"6' 0""",199 lbs.,--,Orthodox,13,7,2,
Ramiz,Brahimaj,,"5' 10""",170 lbs.,"72.0""",Orthodox,10,4,0,
Joe,Brammer,The South Side Strangler,"5' 8""",155 lbs.,--,Orthodox,7,3,1,
David,Branch,,"6' 1""",185 lbs.,"78.0""",Orthodox,22,6,0,
Diego,Brandao,DB,"5' 7""",145 lbs.,"64.0""",Orthodox,22,11,0,
Bruna,Brasil,,"5' 6""",115 lbs.,"65.0""",Orthodox,8,3,1,
Michael,Bravo,,--,155 lbs.,--,,7,4,0,
Martin,Bravo,El Toro,"5' 8""",145 lbs.,"71.0""",Southpaw,11,3,0,
Roman,Bravo-Young,,--,205 lbs.,--,,0,1,0,
Mike,Breeden,Money,"5' 10""",155 lbs.,"70.0""",Orthodox,10,5,0,
Tom,Breese,,"6' 3""",185 lbs.,"73.0""",Southpaw,12,3,0,
Elves,Brener,,"5' 10""",155 lbs.,"72.0""",Orthodox,15,3,0,
Chris,Brennan,The Westside Strangler,"5' 8""",170 lbs.,--,Orthodox,21,13,1,
Charlie,Brenneman,The Spaniard,"5' 10""",155 lbs.,"70.0""",Orthodox,19,8,0,
Robert,Breslin,The Bullet,"5' 11""",155 lbs.,--,,3,9,0,
Mack,Brewer,,--,205 lbs.,--,,0,1,0,
Marcos,Brigagao,Ironside,"6' 3""",205 lbs.,"76.0""",Southpaw,11,1,0,
Jason,Brilz,Hitman,"5' 11""",205 lbs.,"71.0""",Orthodox,22,6,1,
Marcus,Brimage,The Bama Beast,"5' 4""",135 lbs.,"71.0""",Southpaw,7,7,0,
Aaron,Brink,,"6' 3""",205 lbs.,--,Orthodox,26,26,0,
Henry,Briones,Bure,"5' 8""",135 lbs.,"69.0""",Orthodox,16,8,1,
Marcelo,Brito,Jungle Boy,"6' 1""",170 lbs.,--,Orthodox,13,8,0,
Joanderson,Brito,Tubarao,"5' 8""",145 lbs.,"72.0""",Orthodox,15,3,1,
Kaik,Brito,,--,155 lbs.,--,,16,4,0,
Antwain,Britt,The Juggernaut,"6' 1""",205 lbs.,"77.0""",,11,6,0,
Drew,Brokenshire,,--,--,--,,16,6,0,
Mike,Bronzoulis,The Greek,"6' 0""",155 lbs.,--,,18,9,1,
Jonathan,Brookins,,"6' 0""",145 lbs.,"74.0""",Southpaw,16,10,0,
Will,Brooks,Ill,"5' 10""",155 lbs.,"72.0""",Orthodox,18,4,0,
Jarred,Brooks,The Monkey God,"5' 3""",125 lbs.,"62.0""",Switch,13,2,0,
Rob,Broughton,The Bear,"6' 2""",265 lbs.,"74.0""",Orthodox,16,7,1,
Lee,Brousseau,Manimal,"6' 1""",205 lbs.,--,,5,3,0,
Matt,Brown,The Immortal,"6' 0""",170 lbs.,"75.0""",Orthodox,26,19,0,
Mike,Brown,,"5' 6""",145 lbs.,"70.0""",Orthodox,26,9,0,
Dominic,Brown,,"5' 11""",190 lbs.,--,,16,23,0,
Todd,Brown,Bulldog,"5' 11""",205 lbs.,--,Orthodox,16,4,0,
Terrell,Brown,,--,185 lbs.,--,,3,1,0,
Chris,Brown,,--,170 lbs.,--,,10,1,0,
Frederick,Brown,,"6' 0""",235 lbs.,--,,3,2,0,
Randy,Brown,Rudeboy,"6' 3""",170 lbs.,"78.0""",Orthodox,17,5,0,
Damien,Brown,Beatdown,"5' 10""",155 lbs.,"68.0""",Orthodox,17,12,0,
TJ,Brown,Downtown,"5' 9""",145 lbs.,"72.0""",Switch,17,10,0,
Humberto,Brown Morrison,,"5' 10""",145 lbs.,--,,4,6,0,
Travis,Browne,Hapa,"6' 6""",255 lbs.,"79.0""",Orthodox,18,7,1,
Junie,Browning,,"5' 9""",155 lbs.,--,Orthodox,5,6,0,
Jules,Bruchez,,"6' 0""",205 lbs.,--,Southpaw,1,2,0,
Justin,Bruckmann,Loaf,"5' 9""",170 lbs.,--,Orthodox,7,3,0,
Stephanie,Bruna,Rondinha,--,115 lbs.,--,,5,1,0,
Cody,Brundage,,"6' 0""",185 lbs.,"72.0""",Orthodox,8,5,0,
Steve,Bruno,Hollywood,"5' 10""",170 lbs.,--,Orthodox,15,6,0,
Fernando,Bruno,Acougueiro,"5' 6""",145 lbs.,--,,15,4,0,
Derek,Brunson,The One,"6' 1""",185 lbs.,"77.0""",Southpaw,23,9,0,
Josh,Bryant,The Beast,"5' 10""",185 lbs.,--,Orthodox,15,4,0,
Dennis,Bryant,The Beard,"6' 0""",205 lbs.,--,Orthodox,5,2,0,
Lukasz,Brzeski,The Bull,"6' 4""",236 lbs.,"78.0""",Orthodox,8,3,1,
Justin,Buchholz,,"6' 0""",155 lbs.,"73.0""",Orthodox,15,10,0,
Zak,Bucia,,"5' 10""",170 lbs.,--,,17,8,0,
Courtney,Buck,,"5' 10""",135 lbs.,--,Orthodox,12,11,0,
Joaquin,Buckley,New Mansa,"5' 10""",170 lbs.,"76.0""",Southpaw,16,6,0,
Martin,Buday,Badys,"6' 4""",265 lbs.,"77.0""",Orthodox,12,1,0,
Julia,Budd,,"5' 7""",145 lbs.,"67.0""",,10,2,0,
Mike,Budnik,,"5' 9""",145 lbs.,"68.0""",Orthodox,13,4,0,
Francisco,Bueno,,"5' 9""",225 lbs.,--,Orthodox,5,2,0,
Mayra,Bueno Silva,Sheetara,"5' 6""",135 lbs.,"66.0""",Orthodox,11,2,1,
Paul,Buentello,The Headhunter,"6' 2""",245 lbs.,"77.0""",Orthodox,35,17,0,
Modestas,Bukauskas,The Baltic Gladiator,"6' 3""",205 lbs.,"78.0""",Switch,15,5,0,
Lee Kwan,Bum,,"6' 2""",286 lbs.,--,Orthodox,0,1,0,
Josh,Bumgarner,,"6' 1""",170 lbs.,--,,6,4,0,
Shawn,Bunch,Bunch the Great,"5' 5""",135 lbs.,--,,7,3,0,
Felipe,Bunes,Felipinho,"5' 7""",125 lbs.,"69.0""",Orthodox,13,6,0,
Shane,Burgos,Hurricane,"5' 11""",145 lbs.,"75.0""",Orthodox,15,3,0,
Joshua,Burkman,The People's Warrior,"5' 10""",170 lbs.,"72.0""",Orthodox,28,16,0,
Justin,Burlinson,,"6' 1""",170 lbs.,"74.0""",Switch,6,1,0,
Mads,Burnell,,"5' 8""",145 lbs.,"69.0""",Orthodox,9,3,0,
Mikey,Burnett,The Eastside Assassin,"5' 6""",170 lbs.,--,Orthodox,5,2,0,
Kevin,Burns,The Fire,"5' 10""",170 lbs.,"74.0""",Orthodox,12,7,0,
Gilbert,Burns,Durinho,"5' 10""",170 lbs.,"71.0""",Orthodox,22,6,0,
Josh,Burns,The Hammer,"6' 1""",244 lbs.,--,,8,10,0,
Herbert,Burns,The Blaze,"5' 9""",145 lbs.,"73.0""",Orthodox,11,4,0,
Derrick,Burnsed,,--,155 lbs.,--,,1,0,3,
Nah-Shon,Burrell,The Rock n Rolla,"5' 11""",170 lbs.,--,Orthodox,15,7,0,
Martin,Buschkamp,,"5' 9""",145 lbs.,--,Orthodox,9,0,0,
George,Bush,,"6' 1""",205 lbs.,--,,5,2,0,
Bubba,Bush,The Fightin' Texas Aggie,"6' 0""",185 lbs.,--,Orthodox,8,3,0,
Dakota,Bush,,"5' 10""",155 lbs.,"73.0""",Orthodox,8,4,0,
Murilo,Bustamante,,"6' 2""",183 lbs.,--,Orthodox,15,8,1,
Nick,Bustamante,,"5' 9""",170 lbs.,--,,5,3,0,
Eduardo,Bustillos,,"5' 8""",135 lbs.,--,,5,3,0,
Jason,Butcher,,"6' 3""",185 lbs.,--,,10,2,0,
Todd,Butler,,"6' 1""",200 lbs.,--,Southpaw,1,4,0,
Goldman,Butler,,--,--,--,,1,4,0,
Ian,Butler,,"5' 8""",155 lbs.,--,,3,3,0,
Raphael,Butler,The Silencer,"6' 3""",261 lbs.,--,,9,2,1,
Jesse,Butler,,"5' 10""",155 lbs.,"73.0""",Orthodox,12,5,0,
JP,Buys,Young Savage,"5' 5""",125 lbs.,"67.0""",Orthodox,9,5,0,
Dennis,Buzukja,The Great,"5' 9""",145 lbs.,"70.0""",Switch,8,2,0,
Charles,Byrd,Kid Dynamite,"5' 10""",185 lbs.,"73.0""",Orthodox,10,7,0,
Steve,Byrnes,The Sergeant,"6' 0""",170 lbs.,--,Orthodox,6,1,0,
Michael,Byrnes,,"5' 11""",155 lbs.,--,,5,3,0,
,,,,,,,,,,
Yan,Cabral,,"5' 11""",155 lbs.,"73.0""",Orthodox,13,3,0,
Alvin,Cacdac,,"5' 6""",125 lbs.,--,Orthodox,18,13,0,
Alex,Caceres,Bruce Leeroy,"5' 10""",145 lbs.,"73.0""",Southpaw,21,13,0,
Vince,Cachero,The Anomaly,"5' 6""",145 lbs.,"68.0""",Orthodox,7,4,0,
Priscila,Cachoeira,Zombie Girl,"5' 7""",125 lbs.,"65.0""",Orthodox,12,4,0,
Travis,Calanoc,The Dark Knight,"5' 8""",145 lbs.,--,Orthodox,5,1,0,
Ricky,Calatayud,,"5' 9""",125 lbs.,--,,16,2,0,
Darrion,Caldwell,The Wolf,"5' 10""",135 lbs.,--,,10,1,0,
Taylor,Callens,,"5' 10""",155 lbs.,--,,6,0,0,
Cynthia,Calvillo,,"5' 4""",125 lbs.,"64.0""",Orthodox,9,6,1,
Joe,Camacho,,"5' 9""",155 lbs.,--,Orthodox,13,19,3,
Frank,Camacho,The Crank,"5' 10""",155 lbs.,"73.0""",Orthodox,22,10,0,
Fabricio,Camoes,Morango,"5' 10""",155 lbs.,"71.0""",Orthodox,14,9,1,
Chris,Camozzi,,"6' 2""",185 lbs.,"75.0""",Orthodox,24,13,0,
Brian,Camozzi,Mantis,"6' 2""",170 lbs.,"78.0""",Orthodox,7,5,0,
Ricky,Camp,2 Slick,"5' 7""",135 lbs.,--,,11,4,0,
Mike,Campbell,The Beast,"5' 9""",155 lbs.,--,Southpaw,13,4,0,
Thomas,Campbell,,--,--,--,,3,3,0,
Shane,Campbell,Shaolin,"6' 0""",155 lbs.,"71.0""",Orthodox,14,6,0,
Charlie,Campbell,The Cannibal,"6' 0""",155 lbs.,--,Orthodox,6,2,0,
John,Campetella,,"5' 9""",235 lbs.,--,Orthodox,0,1,0,
Wagner,Campos,Galeto,"5' 6""",145 lbs.,--,Southpaw,12,10,0,
Derek,Campos,The Stallion,"5' 9""",155 lbs.,--,,19,6,0,
Will,Campuzano,,"5' 9""",125 lbs.,"70.0""",Orthodox,14,6,0,
Aleksa,Camur,,"6' 1""",205 lbs.,"74.0""",Orthodox,6,2,0,
Chico,Camus,The King,"5' 6""",125 lbs.,"66.0""",Orthodox,17,7,0,
Asbel,Cancio,,"5' 10""",225 lbs.,--,,0,1,0,
Carlos,Candelario,The Cannon,"5' 8""",125 lbs.,"68.0""",Southpaw,8,3,0,
Ronaldo,Candido,Pacman,"5' 6""",125 lbs.,--,Southpaw,6,0,0,
Luiz,Cane,Banha,"6' 2""",185 lbs.,"77.0""",Southpaw,17,7,0,
Guido,Cannetti,Ninja,"5' 6""",135 lbs.,"68.0""",Southpaw,10,8,0,
Jared,Cannonier,The Killa Gorilla,"5' 11""",185 lbs.,"77.0""",Switch,17,6,0,
Jose,Canseco,,"6' 4""",240 lbs.,--,Orthodox,0,1,0,
Cody,Canterbury,,"5' 8""",155 lbs.,--,,1,10,0,
Bo,Cantrell,Redrum,"6' 2""",235 lbs.,--,Orthodox,10,10,0,
Steve,Cantwell,The Robot,"6' 2""",185 lbs.,"75.0""",Orthodox,7,6,0,
Paul,Capaldo,,"5' 7""",135 lbs.,--,,6,0,0,
Phil,Caracappa,The Hitman,"5' 8""",135 lbs.,"70.0""",Orthodox,6,1,0,
Frank,Caracci,,--,--,--,,2,3,0,
Gina,Carano,Conviction,"5' 8""",145 lbs.,--,Orthodox,7,1,0,
Dos,Caras Jr.,,"6' 4""",225 lbs.,--,Orthodox,9,5,0,
Bryan,Caraway,Kid Lightning,"5' 8""",135 lbs.,"68.0""",Orthodox,21,9,0,
Remo,Cardarelli,,--,135 lbs.,--,,7,5,0,
Phil,Cardella,,"5' 11""",155 lbs.,--,,8,5,0,
Edgar,Cardenas,Kitty Katt,--,145 lbs.,--,,4,1,0,
Chris,Cariaso,Kamikaze,"5' 3""",125 lbs.,"64.0""",Southpaw,17,8,0,
Ronald,Carillo,,--,125 lbs.,--,,4,2,0,
Rafael,Carino,,"6' 8""",245 lbs.,--,Orthodox,2,1,1,
Don,Carlo-Clauss,,--,170 lbs.,--,,10,7,0,
Antonio,Carlos Junior,Cara de Sapato,"6' 2""",185 lbs.,"79.0""",Orthodox,11,5,0,
Spike,Carlyle,Alpha Ginger,"5' 8""",145 lbs.,"71.0""",Switch,9,3,0,
Francis,Carmont,Limitless,"6' 3""",205 lbs.,"78.0""",Orthodox,25,12,0,
Liz,Carmouche,Girlrilla,"5' 6""",125 lbs.,"66.0""",Orthodox,13,7,0,
Roan,Carneiro,Jucao,"5' 11""",170 lbs.,"76.0""",Orthodox,21,11,0,
Ariane,Carnelossi,Sorriso,"5' 2""",115 lbs.,"61.0""",Orthodox,14,3,0,
Luana,Carolina,Dread,"5' 6""",125 lbs.,"69.0""",Orthodox,9,4,0,
Tim,Caron,The Bear,"6' 1""",185 lbs.,--,Orthodox,7,1,0,
Clayton,Carpenter,,"5' 6""",125 lbs.,"66.0""",Orthodox,7,0,0,
Gabriel,Carrasco,,"5' 6""",135 lbs.,--,,7,0,0,
Cody,Carrillo,,"5' 10""",155 lbs.,--,,11,16,0,
Cain,Carrizosa,The Insane,"5' 8""",155 lbs.,--,Orthodox,10,3,0,
Roger,Carroll,The Leprechaun,"5' 10""",170 lbs.,--,,16,14,0,
Jonny,Carson,,"5' 10""",155 lbs.,--,,11,7,0,
Scott,Carson,,"6' 2""",215 lbs.,--,,4,2,0,
Shonie,Carter,Mr. International,"5' 10""",170 lbs.,--,Southpaw,51,31,7,
Jack,Cartwright,,"5' 9""",135 lbs.,"68.0""",Orthodox,10,1,0,
Bruno,Carvalho,,"5' 8""",154 lbs.,--,,10,5,0,
Antonio,Carvalho,Pato,"5' 9""",145 lbs.,"70.0""",Orthodox,15,6,0,
Rafael,Carvalho,,"6' 3""",185 lbs.,--,,14,1,0,
Shane,Carwin,The Engineer,"6' 2""",265 lbs.,"80.0""",Orthodox,12,2,0,
Johnny,Case,Hollywood,"5' 10""",155 lbs.,"72.0""",Orthodox,22,6,0,
Kevin,Casey,King,"5' 11""",185 lbs.,"77.0""",Southpaw,9,5,2,
Cortney,Casey,Cast Iron,"5' 7""",125 lbs.,"67.0""",Orthodox,10,10,0,
Brandon,Cash,Money,"6' 5""",255 lbs.,--,Orthodox,10,4,0,
Bendy,Casimir,,"5' 5""",145 lbs.,--,Southpaw,20,14,2,
Dwayne,Cason,,"5' 10""",212 lbs.,--,Orthodox,1,1,0,
Joe,Cason,,"6' 3""",205 lbs.,--,,9,1,0,
John,Castaneda,Sexy Mexi,"5' 6""",135 lbs.,"71.0""",Switch,20,6,0,
Eric,Castile,,"5' 8""",145 lbs.,--,,3,2,0,
Gil,Castillo,,"5' 9""",170 lbs.,--,Southpaw,8,5,0,
Danny,Castillo,Last Call,"5' 9""",155 lbs.,"71.0""",Orthodox,17,10,0,
Raul,Castillo,,"5' 11""",185 lbs.,--,Orthodox,7,1,0,
Jenna,Castillo,,"5' 2""",125 lbs.,--,,1,0,0,
Tim,Catalfo,Obake,"5' 11""",235 lbs.,--,Orthodox,4,2,0,
Nick,Catone,The Jersey Devil,"6' 0""",185 lbs.,"72.0""",Southpaw,10,4,0,
Luke,Caudillo,Lil' Hulk,"5' 7""",155 lbs.,--,Orthodox,17,17,0,
Gesias,Cavalcante,JZ,"5' 8""",155 lbs.,"71.0""",Orthodox,21,10,1,
Rafael,Cavalcante,Feijao,"6' 1""",205 lbs.,"74.0""",Orthodox,12,7,0,
Jacqueline,Cavalcanti,,--,135 lbs.,--,,5,1,0,
Magnus,Cedenblad,Jycken,"6' 5""",185 lbs.,"79.0""",Orthodox,14,5,0,
Yosdenis,Cedeno,Pink Panther,"5' 8""",155 lbs.,"69.0""",Orthodox,10,6,1,
Henry,Cejudo,Triple C,"5' 4""",135 lbs.,"64.0""",Orthodox,16,3,0,
Adam,Cella,El Naturel,"6' 2""",170 lbs.,--,,6,8,0,
Vinicius,Cenci,Chambinho,"6' 1""",155 lbs.,"74.0""",Orthodox,7,2,0,
Donald,Cerrone,Cowboy,"6' 1""",155 lbs.,"73.0""",Orthodox,36,17,0,
Jared,Chaffee,,"5' 10""",155 lbs.,--,,5,2,0,
Luan,Chagas,Tarzan,"6' 0""",170 lbs.,"75.0""",Orthodox,15,3,1,
Edgar,Chairez,Pitbull,"5' 7""",125 lbs.,"71.0""",Orthodox,10,5,0,
Ansar,Chalangov,,"5' 9""",170 lbs.,--,Orthodox,14,5,0,
Alex,Chambers,Astro Girl,"5' 3""",115 lbs.,"63.0""",Southpaw,5,5,0,
Michael,Chandler,Iron,"5' 8""",155 lbs.,"71.0""",Orthodox,23,8,0,
Chelsea,Chandler,,"5' 8""",145 lbs.,"68.0""",Southpaw,5,2,0,
Donnie,Chappell,,"5' 11""",178 lbs.,--,Southpaw,0,1,0,
Joe,Charles,The Ghetto Man,"6' 1""",260 lbs.,--,Southpaw,6,13,0,
Dan,Charles,The Man,"6' 2""",228 lbs.,--,,10,6,1,
Ernest,Chavez,EJ,"5' 8""",145 lbs.,"70.0""",Orthodox,10,2,0,
Emilio,Chavez,,"5' 9""",145 lbs.,--,,12,9,0,
Danny,Chavez,The Colombian Warrior,"5' 8""",145 lbs.,"67.0""",Orthodox,11,5,1,
Gabriel,Checco,Zangief,"6' 1""",185 lbs.,--,Switch,10,2,0,
Albert,Cheng,,"5' 11""",170 lbs.,--,Orthodox,7,4,0,
Fabio,Cherant,Water Buffalo,"6' 1""",205 lbs.,"74.0""",Southpaw,7,4,0,
Ion,Cherdivara,,--,205 lbs.,--,,1,1,0,
Mark,Cherico,The Pride of Bloomfield,"5' 7""",145 lbs.,"69.0""",Orthodox,11,1,0,
Macy,Chiasson,,"5' 11""",135 lbs.,"72.0""",Orthodox,9,3,0,
Michael,Chiesa,Maverick,"6' 1""",170 lbs.,"75.0""",Southpaw,18,6,0,
Giga,Chikadze,Ninja,"6' 0""",145 lbs.,"74.0""",Orthodox,14,3,0,
Khamzat,Chimaev,Borz,"6' 2""",170 lbs.,"75.0""",Orthodox,12,0,0,
Sako,Chivitchian,,"5' 11""",155 lbs.,--,,8,1,0,
Mu Bae,Choi,,"6' 2""",230 lbs.,--,Orthodox,12,6,0,
Hong Man,Choi,Techno Goliath,"7' 2""",330 lbs.,--,Orthodox,4,5,0,
Dooho,Choi,The Korean Superboy,"5' 10""",145 lbs.,"70.0""",Orthodox,14,4,1,
SeungWoo,Choi,Sting,"6' 0""",145 lbs.,"74.0""",Orthodox,10,6,0,
SeungGuk,Choi,,"5' 6""",125 lbs.,"64.0""",Orthodox,7,2,0,
John,Cholish,,"5' 11""",155 lbs.,"74.0""",Orthodox,8,3,0,
Ryo,Chonan,Piranah,"5' 9""",170 lbs.,"70.0""",Orthodox,22,13,0,
Katlyn,Chookagian,Blonde Fighter,"5' 9""",125 lbs.,"68.0""",Orthodox,18,5,0,
Will,Chope,The Kill,"6' 4""",145 lbs.,--,Switch,34,13,0,
Joachim,Christensen,,"6' 3""",205 lbs.,"76.0""",Orthodox,14,6,0,
Dan,Christison,The Sandman,"6' 8""",265 lbs.,--,Orthodox,20,7,0,
Anthony,Christodoulou,,"5' 9""",155 lbs.,--,Orthodox,12,7,0,
Murad,Chunkaiev,,"5' 11""",185 lbs.,--,Orthodox,8,4,0,
Cameron,Church,,"5' 11""",155 lbs.,"72.0""",Orthodox,4,1,0,
Steven,Ciaccio,Stryker,"6' 0""",170 lbs.,--,,4,4,0,
Mike,Ciesnolevicz,,"6' 0""",235 lbs.,--,Orthodox,19,4,0,
Hannah,Cifers,Shockwave,"5' 1""",115 lbs.,"62.0""",Orthodox,10,7,0,
